Lower case	Upper case	Translit	spell	Notes
ß	ẞ	s	szarfes es	
ñ	Ñ	ń	en z tyldą	
ç	Ç	s	ce z cedyllą	
ḉ	Ḉ	c	ce ostre z cedyllą	
á	Á	a	a ostre	
é	É	e	e ostre	
í	Í	i	i ostre	
ú	Ú	u	u ostre	
ý	Ý	y	igrek ostre	
ä	Ä	e	a umlaut	jäger
ü	Ü	i	u umlaut	glück
ö	Ö	e	o umlaut	wörterbuch
č	Č	cz	ce z haczkiem	
ž	Ž	ż	zet z haczkiem	
š	Š	sz	es z haczkiem	
đ	Đ	dź	de skreślone	
ř	Ř	rz	er z haczkiem	
ň	Ň	ń	en z haczkiem	
ě	Ě	ie	e z haczkiem	
ľ	Ľ	l	el z haczkiem	
ô	Ô	o	o z daszkiem	
ĺ	Ĺ	l	el ostre	
ŕ	Ŕ	r	er ostre	
ů	Ů	u	u z kółkiem	
ď	Ď	d	de z haczkiem	
ť	Ť	t	te z haczkiem	
à	À	a	a ciężkie	
è	È	e	e ciężkie	
ì	ì	i	i ciężkie	
ò	Ò	o	o ciężkie	
ù	Ù	u	u ciężkie	
ã	Ã	a	a z tyldą	
ë	Ë	e	e umlaut	
ō	Ō	ó	o z makronem	
ŏ	Ŏ	o	o z łuczkiem	
õ	Õ	o	o z tyldą	
ŭ	Ŭ	ł	u z łuczkiem	
α	Α	a	alfa	
ά	Ά	a	alfa tonos	
β	Β	b	beta	
γ	Γ	g	gamma	
δ	Δ	d	delta	
ε	Ε	e	epsylon	
έ	Έ	e	epsylon tonos	
ζ	Ζ	z	zeta	
η	Η	e	eta	
ή	Ή	e	eta tonos	
θ	Θ	th	theta	
ι	Ι	i	jota	
ί	Ί	i	jota tonos	
ϊ	Ϊ	i	jota dialitika	
ΐ	ΐ	i	jota tonos dialitika	
κ	Κ	k	kappa	
λ	Λ	l	lambda	
μ	Μ	m	my	
ν	Ν	n	ny	
ξ	Ξ	x	ksi	
ο	Ο	o	omikron	
ό	Ό	o	omikron tonos	
π	Π	p	pi	
ρ	Ρ	r	ro	
σ	Σ	s	sigma	
ς	ς	s	sigma teliko	
τ	Τ	t	tau	
υ	Υ	y	ipsylon	
ύ	Ύ	y	ipsylon tonos	
ϋ	Ϋ	y	ipsylon dialitika	
ΰ	ΰ	y	ipsylon tonos dialitika	
φ	Φ	f	fi	
χ	Χ	ch	chi	
ψ	Ψ	ps	psi	
ω	Ω	o	omega	
ώ	Ώ	o	omega tonos	
ἀ	Ἀ	a		GREEK SMALL LETTER ALPHA WITH PSILI
ἁ	Ἁ	a		GREEK SMALL LETTER ALPHA WITH DASIA
ἂ	Ἂ	a		GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA
ἃ	Ἃ	a		GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA
ἄ	Ἄ	a		GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
ἅ	Ἅ	a		GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA
ἆ	Ἆ	a		GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI
ἇ	Ἇ	a		GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI
ἐ	Ἐ	e		GREEK SMALL LETTER EPSILON WITH PSILI
ἑ	Ἑ	e		GREEK SMALL LETTER EPSILON WITH DASIA
ἒ	Ἒ	e		GREEK SMALL LETTER EPSILON WITH PSILI AND VARIA
ἓ	Ἓ	e		GREEK SMALL LETTER EPSILON WITH DASIA AND VARIA
ἔ	Ἔ	e		GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA
ἕ	Ἕ	e		GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
ἠ	Ἠ	i		GREEK SMALL LETTER ETA WITH PSILI
ἡ	Ἡ	i		GREEK SMALL LETTER ETA WITH DASIA
ἢ	Ἢ	i		GREEK SMALL LETTER ETA WITH PSILI AND VARIA
ἣ	Ἣ	i		GREEK SMALL LETTER ETA WITH DASIA AND VARIA
ἤ	Ἤ	i		GREEK SMALL LETTER ETA WITH PSILI AND OXIA
ἥ	Ἥ	i		GREEK SMALL LETTER ETA WITH DASIA AND OXIA
ἦ	Ἦ	i		GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI
ἧ	Ἧ	i		GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI
ἰ	Ἰ	j		GREEK SMALL LETTER IOTA WITH PSILI
ἱ	Ἱ	j		GREEK SMALL LETTER IOTA WITH DASIA
ἲ	Ἲ	j		GREEK SMALL LETTER IOTA WITH PSILI AND VARIA
ἳ	Ἳ	j		GREEK SMALL LETTER IOTA WITH DASIA AND VARIA
ἴ	Ἴ	j		GREEK SMALL LETTER IOTA WITH PSILI AND OXIA
ἵ	Ἵ	j		GREEK SMALL LETTER IOTA WITH DASIA AND OXIA
ἶ	Ἶ	j		GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI
ἷ	Ἷ	j		GREEK SMALL LETTER IOTA WITH DASIA AND PERISPOMENI
ὀ	Ὀ	o		GREEK SMALL LETTER OMICRON WITH PSILI
ὁ	Ὁ	o		GREEK SMALL LETTER OMICRON WITH DASIA
ὂ	Ὂ	o		GREEK SMALL LETTER OMICRON WITH PSILI AND VARIA
ὃ	Ὃ	o		GREEK SMALL LETTER OMICRON WITH DASIA AND VARIA
ὄ	Ὄ	o		GREEK SMALL LETTER OMICRON WITH PSILI AND OXIA
ὅ	Ὅ	o		GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
ὐ	ὐ	y		GREEK SMALL LETTER UPSILON WITH PSILI
ὑ	Ὑ	y		GREEK SMALL LETTER UPSILON WITH DASIA
ὒ	ὒ	y		GREEK SMALL LETTER UPSILON WITH PSILI AND VARIA
ὓ	Ὓ	y		GREEK SMALL LETTER UPSILON WITH DASIA AND VARIA
ὔ	ὔ	y		GREEK SMALL LETTER UPSILON WITH PSILI AND OXIA
ὕ	Ὕ	y		GREEK SMALL LETTER UPSILON WITH DASIA AND OXIA
ὖ	ὖ	y		GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
ὗ	Ὗ	y		GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
ὠ	Ὠ	o		GREEK SMALL LETTER OMEGA WITH PSILI
ὡ	Ὡ	o		GREEK SMALL LETTER OMEGA WITH DASIA
ὢ	Ὢ	o		GREEK SMALL LETTER OMEGA WITH PSILI AND VARIA
ὣ	Ὣ	o		GREEK SMALL LETTER OMEGA WITH DASIA AND VARIA
ὤ	Ὤ	o		GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA
ὥ	Ὥ	o		GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA
ὦ	Ὦ	o		GREEK SMALL LETTER OMEGA WITH PSILI AND PERISPOMENI
ὧ	Ὧ	o		GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI
ὰ	Ὰ	a		GREEK SMALL LETTER ALPHA WITH VARIA
ά	Ά	a		GREEK SMALL LETTER ALPHA WITH OXIA
ὲ	Ὲ	e		GREEK SMALL LETTER EPSILON WITH VARIA
έ	Έ	e		GREEK SMALL LETTER EPSILON WITH OXIA
ὴ	Ὴ	i		GREEK SMALL LETTER ETA WITH VARIA
ή	Ή	i		GREEK SMALL LETTER ETA WITH OXIA
ὶ	Ὶ	j		GREEK SMALL LETTER IOTA WITH VARIA
ί	Ί	j		GREEK SMALL LETTER IOTA WITH OXIA
ὸ	Ὸ	o		GREEK SMALL LETTER OMICRON WITH VARIA
ό	Ό	o		GREEK SMALL LETTER OMICRON WITH OXIA
ὺ	Ὺ	y		GREEK SMALL LETTER UPSILON WITH VARIA
ύ	Ύ	y		GREEK SMALL LETTER UPSILON WITH OXIA
ὼ	Ὼ	o		GREEK SMALL LETTER OMEGA WITH VARIA
ώ	Ώ	o		GREEK SMALL LETTER OMEGA WITH OXIA
ᾀ	ᾀ	a		GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI
ᾁ	ᾁ	a		GREEK SMALL LETTER ALPHA WITH DASIA AND YPOGEGRAMMENI
ᾂ	ᾂ	a		GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA AND YPOGEGRAMMENI
ᾃ	ᾃ	a		GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA AND YPOGEGRAMMENI
ᾄ	ᾄ	a		GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA AND YPOGEGRAMMENI
ᾅ	ᾅ	a		GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA AND YPOGEGRAMMENI
ᾆ	ᾆ	a		GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
ᾇ	ᾇ	a		GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
ᾈ	ᾈ	a		GREEK CAPITAL LETTER ALPHA WITH PSILI AND PROSGEGRAMMENI
ᾉ	ᾉ	a		GREEK CAPITAL LETTER ALPHA WITH DASIA AND PROSGEGRAMMENI
ᾊ	ᾊ	a		GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA AND PROSGEGRAMMENI
ᾋ	ᾋ	a		GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA AND PROSGEGRAMMENI
ᾌ	ᾌ	a		GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA AND PROSGEGRAMMENI
ᾍ	ᾍ	a		GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA AND PROSGEGRAMMENI
ᾎ	ᾎ	a		GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
ᾏ	ᾏ	a		GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
ᾐ	ᾐ	i		GREEK SMALL LETTER ETA WITH PSILI AND YPOGEGRAMMENI
ᾑ	ᾑ	i		GREEK SMALL LETTER ETA WITH DASIA AND YPOGEGRAMMENI
ᾒ	ᾒ	i		GREEK SMALL LETTER ETA WITH PSILI AND VARIA AND YPOGEGRAMMENI
ᾓ	ᾓ	i		GREEK SMALL LETTER ETA WITH DASIA AND VARIA AND YPOGEGRAMMENI
ᾔ	ᾔ	i		GREEK SMALL LETTER ETA WITH PSILI AND OXIA AND YPOGEGRAMMENI
ᾕ	ᾕ	i		GREEK SMALL LETTER ETA WITH DASIA AND OXIA AND YPOGEGRAMMENI
ᾖ	ᾖ	i		GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
ᾗ	ᾗ	i		GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
ᾘ	ᾘ	i		GREEK CAPITAL LETTER ETA WITH PSILI AND PROSGEGRAMMENI
ᾙ	ᾙ	i		GREEK CAPITAL LETTER ETA WITH DASIA AND PROSGEGRAMMENI
ᾚ	ᾚ	i		GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA AND PROSGEGRAMMENI
ᾛ	ᾛ	i		GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA AND PROSGEGRAMMENI
ᾜ	ᾜ	i		GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA AND PROSGEGRAMMENI
ᾝ	ᾝ	i		GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA AND PROSGEGRAMMENI
ᾞ	ᾞ	i		GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
ᾟ	ᾟ	i		GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
ᾠ	ᾠ	o		GREEK SMALL LETTER OMEGA WITH PSILI AND YPOGEGRAMMENI
ᾡ	ᾡ	o		GREEK SMALL LETTER OMEGA WITH DASIA AND YPOGEGRAMMENI
ᾢ	ᾢ	o		GREEK SMALL LETTER OMEGA WITH PSILI AND VARIA AND YPOGEGRAMMENI
ᾣ	ᾣ	o		GREEK SMALL LETTER OMEGA WITH DASIA AND VARIA AND YPOGEGRAMMENI
ᾤ	ᾤ	o		GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA AND YPOGEGRAMMENI
ᾥ	ᾥ	o		GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA AND YPOGEGRAMMENI
ᾦ	ᾦ	o		GREEK SMALL LETTER OMEGA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
ᾧ	ᾧ	o		GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
ᾨ	ᾨ	o		GREEK CAPITAL LETTER OMEGA WITH PSILI AND PROSGEGRAMMENI
ᾩ	ᾩ	o		GREEK CAPITAL LETTER OMEGA WITH DASIA AND PROSGEGRAMMENI
ᾪ	ᾪ	o		GREEK CAPITAL LETTER OMEGA WITH PSILI AND VARIA AND PROSGEGRAMMENI
ᾫ	ᾫ	o		GREEK CAPITAL LETTER OMEGA WITH DASIA AND VARIA AND PROSGEGRAMMENI
ᾬ	ᾬ	o		GREEK CAPITAL LETTER OMEGA WITH PSILI AND OXIA AND PROSGEGRAMMENI
ᾭ	ᾭ	o		GREEK CAPITAL LETTER OMEGA WITH DASIA AND OXIA AND PROSGEGRAMMENI
ᾮ	ᾮ	o		GREEK CAPITAL LETTER OMEGA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
ᾯ	ᾯ	o		GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
ᾰ	Ᾰ	a		GREEK SMALL LETTER ALPHA WITH VRACHY
ᾱ	Ᾱ	a		GREEK SMALL LETTER ALPHA WITH MACRON
ᾲ	ᾲ	a		GREEK SMALL LETTER ALPHA WITH VARIA AND YPOGEGRAMMENI
ᾳ	ᾳ	a		GREEK SMALL LETTER ALPHA WITH YPOGEGRAMMENI
ᾴ	ᾴ	a		GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
ᾶ	ᾶ	a		GREEK SMALL LETTER ALPHA WITH PERISPOMENI
ᾷ	ᾷ	a		GREEK SMALL LETTER ALPHA WITH PERISPOMENI AND YPOGEGRAMMENI
ᾼ	ᾼ	a		GREEK CAPITAL LETTER ALPHA WITH PROSGEGRAMMENI
᾽	᾽	koronis		GREEK KORONIS
ι	ι	Prosgegrammeni		GREEK PROSGEGRAMMENI
᾿	᾿	psili		GREEK PSILI
῀	῀	perispomeni		GREEK PERISPOMENI
῁	῁	dialitika kai perispomeni		GREEK DIALYTIKA AND PERISPOMENI
ῂ	ῂ	e		GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI
ῃ	ῃ	e		GREEK SMALL LETTER ETA WITH YPOGEGRAMMENI
ῄ	ῄ	e		GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
ῆ	ῆ	e		GREEK SMALL LETTER ETA WITH PERISPOMENI
ῇ	ῇ	e		GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI
ῌ	ῌ	e		GREEK CAPITAL LETTER ETA WITH PROSGEGRAMMENI
῍	῍	psili kai varia		GREEK PSILI AND VARIA
῎	῎		psili kai oksia	GREEK PSILI AND OXIA
῏	῏	psili kai perispomeni		GREEK PSILI AND PERISPOMENI
ῐ	Ῐ	i		GREEK SMALL LETTER IOTA WITH VRACHY
ῑ	Ῑ	i		GREEK SMALL LETTER IOTA WITH MACRON
ῒ	ῒ	i		GREEK SMALL LETTER IOTA WITH DIALYTIKA AND VARIA
ΐ	ΐ	i		GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
ῖ	ῖ	i		GREEK SMALL LETTER IOTA WITH PERISPOMENI
ῗ	ῗ	i		GREEK SMALL LETTER IOTA WITH DIALYTIKA AND PERISPOMENI
῝	῝	dasia kai varia		GREEK DASIA AND VARIA
῞	῞	dasia kai oksia		GREEK DASIA AND OXIA
῟	῟	dasia kai perispomeni		GREEK DASIA AND PERISPOMENI
ῠ	Ῠ	y		GREEK SMALL LETTER UPSILON WITH VRACHY
ῡ	Ῡ	y		GREEK SMALL LETTER UPSILON WITH MACRON
ῢ	ῢ	y		GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND VARIA
ΰ	ΰ	y		GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND OXIA
ῤ	ῤ	r		GREEK SMALL LETTER RHO WITH PSILI
ῥ	Ῥ	r		GREEK SMALL LETTER RHO WITH DASIA
ῦ	ῦ	y		GREEK SMALL LETTER UPSILON WITH PERISPOMENI
ῧ	ῧ	y		GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND PERISPOMENI
῭	῭	dialitika kai varia		GREEK DIALYTIKA AND VARIA
΅	΅	dialitika kai oxia		GREEK DIALYTIKA AND OXIA
`	`	varia		GREEK VARIA
ῲ	ῲ	o		GREEK SMALL LETTER OMEGA WITH VARIA AND YPOGEGRAMMENI
ῳ	ῳ	o		GREEK SMALL LETTER OMEGA WITH YPOGEGRAMMENI
ῴ	ῴ	o		GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
ῶ	ῶ	o		GREEK SMALL LETTER OMEGA WITH PERISPOMENI
ῷ	ῷ	o		GREEK SMALL LETTER OMEGA WITH PERISPOMENI AND YPOGEGRAMMENI
ῼ	ῼ	o		GREEK CAPITAL LETTER OMEGA WITH PROSGEGRAMMENI
´	´	oxia		GREEK OXIA
῾	῾	dasia		GREEK DASIA
